job_id,,time (calibration),Q0_T1,Q0_T2,Q1_T1,Q1_T2,CZ_error,Readout_Q0,Readout_Q1,S-value,ab,ab_,a_b,a_b_,"qubit pair (q0, q1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d96djlkqp3as739qfh50,ibm_fez,2026-07-07 13:49:58.564187+03:00,51.8439,49.1383,165.313,205.5103,0.0108,0.0127,0.0195,2.7092,0.6809,0.6748,0.6367,-0.7168,"142, 141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d96e8lotcv6s73djlsu0,ibm_fez,2026-07-07 14:34:47.198173+03:00,51.8439,49.1383,165.313,205.5103,0.0108,0.0127,0.0195,2.7234,0.679,0.6768,0.6421,-0.7256,"142, 141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d96ejed2su3c739grvsg,ibm_fez,2026-07-07 14:57:45.495389+03:00,51.8439,49.1383,165.313,205.5103,0.0108,0.0133,0.02,2.7239,0.6775,0.6899,0.6316,-0.7249,"142, 141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d96eqk52su3c739gs8hg,ibm_fez,2026-07-07 15:13:04.637900+03:00,51.8439,49.1383,165.313,205.5103,0.0108,0.0133,0.02,2.7256,0.6577,0.687,0.6943,-0.6865,"114, 115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9j0bt8ii2cc73ee5m80,ibm_fez,2026-07-27 12:56:10+03:00,43.1039,9.7532,200.6166,221.7,0.0105,0.0112,0.0249,2.7427,0.6685,0.679,0.6975,-0.6978,"59, 75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9jj8kgii2cc73eetr90,ibm_fez,2026-07-28 09:07:23+03:00,43.1039,9.7532,200.6166,221.7,0.0106,0.0112,0.0249,2.6404,0.6511,0.6738,0.6614,-0.6541,"111, 110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9kt9lqbr2fc73e7s920,ibm_fez,2026-07-29 23:45:04+03:00,44.882,11.0874,237.4401,232.1073,0.009,0.0111,0.017,2.6982,0.6704,0.6995,0.6775,-0.6509,"23, 22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9kto12br2fc73e7soqg,ibm_fez,2026-07-29 23:45:04+03:00,44.882,11.0874,237.4401,232.1073,0.009,0.0111,0.017,2.6956,0.6846,0.7002,0.6631,-0.6477,"23, 22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9lgk5jhdfks73ckva30,ibm_fez,2026-07-30 11:54:55+03:00,44.882,11.0874,237.4401,232.1073,0.0088,0.0112,0.0132,2.5798,0.6331,0.6526,0.6604,-0.6338,"70, 69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9lgkaibr2fc73e8ltug,ibm_fez,2026-07-30 11:54:55+03:00,44.882,11.0874,237.4401,232.1073,0.0088,0.0112,0.0132,2.6082,0.6541,0.656,0.6497,-0.6484,"70, 69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9lgkirhdfks73ckval0,ibm_fez,2026-07-30 11:54:55+03:00,44.882,11.0874,237.4401,232.1073,0.0088,0.0112,0.0132,2.5869,0.6445,0.6514,0.6436,-0.6475,"70, 69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9lgkqoii2cc73ehfsmg,ibm_fez,2026-07-30 11:54:55+03:00,44.882,11.0874,237.4401,232.1073,0.0088,0.0112,0.0132,2.6006,0.6563,0.6531,0.6416,-0.6497,"70, 69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9q4etclp7es73b4gju0,ibm_fez,2026-08-06 10:05:02+03:00,49.6221,50.589,133.0653,122.77,0.0066,0.0112,0.0188,2.7024,0.7007,0.6692,0.6533,-0.6792,"22, 23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
