,Fez,,,SHOT NOISE,,,,,,,kingston,,,SHOT NOISE,,,,,,,marrakesh,,,SHOT NOISE,,,,,
,Job,S,? ab,? ab?,? a?b,? a?b?,? S,,,,Job,S,? ab,? ab?,? a?b,? a?b?,? S,,,,Job,S,? ab,? ab?,? a?b,? a?b?,? S,,
,d96djlkqp3as739qfh50,2.7092,0.008092,0.008154,0.00852,0.007704,0.016245,,,,d971ngif47jc73a668ag,2.751,0.008083,0.008204,0.008332,0.008062,0.016342,,,,d96e348tcv6s73djljs0,2.6416,0.008095,0.008103,0.008601,0.008099,0.016455,,
,d96e8lotcv6s73djlsu0,2.7234,0.008111,0.008134,0.00847,0.007603,0.016171,,,,d971t64qp3as739r6s70,2.7822,0.008155,0.008129,0.008389,0.007618,0.016177,,,,d9717pqf47jc73a65hb0,2.7717,0.008084,0.007956,0.007969,0.008108,0.016059,,
,d96ejed2su3c739grvsg,2.7239,0.008126,0.007998,0.008566,0.007611,0.016165,,,,d971vol2su3c739hhumg,2.7527,0.008201,0.008077,0.008346,0.008335,0.016482,,,,d9719qaf47jc73a65kvg,2.769,0.008084,0.007915,0.007728,0.008416,0.016087,,
,d96eqk52su3c739gs8hg,2.7256,0.008323,0.008029,0.007951,0.008034,0.016171,,,,d9722mqf47jc73a66ko0,2.7717,0.008105,0.008136,0.008301,0.008061,0.016306,,,,d971baotcv6s73dkbqjg,2.7432,0.007954,0.008236,0.008473,0.007689,0.016193,,
,d9j0bt8ii2cc73ee5m80,2.7427,0.008217,0.008111,0.007917,0.007914,0.016082,,,,d9eu49cjeosc73fj8dvg,2.679,0.008344,0.008074,0.008337,0.00838,0.016564,,,,d971d62f47jc73a65sn0,2.729,0.008081,0.008206,0.00861,0.007587,0.01623,,
,d9jj8kgii2cc73eetr90,2.6404,0.008386,0.008164,0.008287,0.008357,0.016598,,,,d9eu55ineu4c739otff0,2.6748,0.008302,0.008047,0.008371,0.00844,0.01658,,,,d9ktokbjf64c739inl5g,2.739,0.008133,0.008073,0.008199,0.008405,0.016408,,
,d9kt9lqbr2fc73e7s920,2.6982,0.008198,0.007896,0.008126,0.008388,0.016308,,,,d9eu8ukjeosc73fj8il0,2.6575,0.008247,0.00832,0.008307,0.008413,0.016643,,,,d9ktoq2br2fc73e7spl0,2.7527,0.008193,0.008,0.008194,0.008196,0.016292,,
,d9kto12br2fc73e7soqg,2.6956,0.008053,0.007888,0.00827,0.008418,0.01632,,,,d9eu9a4jeosc73fj8j20,2.6536,0.008353,0.0083,0.008277,0.008426,0.01668,,,,d9ktp13jf64c739inljg,2.7383,0.008102,0.00808,0.008265,0.008335,0.016392,,
,d9lgk5jhdfks73ckva30,2.5798,0.008552,0.008372,0.008297,0.008546,0.016885,,,,d9lghrqbr2fc73e8lqng,2.781,0.007519,0.007785,0.008321,0.008308,0.015978,,,,d9lgj5rhdfks73ckv8r0,2.6135,0.008337,0.008075,0.008333,0.008967,0.016875,,
,d9lgkaibr2fc73e8ltug,2.6082,0.008357,0.008339,0.008399,0.008411,0.016753,,,,d9lgi2qbr2fc73e8lr00,2.7363,0.007604,0.007967,0.008424,0.008426,0.016231,,,,d9lgjaabr2fc73e8lskg,2.6641,0.008323,0.008094,0.008252,0.008772,0.016736,,
,d9lgkirhdfks73ckval0,2.5869,0.008448,0.008383,0.008456,0.00842,0.016853,,,,d9lgid3hdfks73ckv7sg,2.7825,0.007513,0.007802,0.008317,0.008324,0.01598,,,,d9lgjg2br2fc73e8lss0,2.6956,0.008309,0.007934,0.008091,0.008686,0.016569,,
,d9lgkqoii2cc73ehfsmg,2.6006,0.008336,0.008367,0.008475,0.008399,0.016789,,,,d9lgitoii2cc73ehfq20,2.7749,0.007868,0.007899,0.008292,0.008283,0.016173,,,,d9lgjrrjf64c739jgqog,2.6624,0.008349,0.008094,0.00824,0.008773,0.016747,,
,d9q4etclp7es73b4gju0,2.7024,0.007883,0.00821,0.008365,0.008109,0.016287,,,,d9q40f242q2c73b8n67g,2.7112,0.008112,0.008153,0.007989,0.008142,0.016198,,,,d9q434slp7es73b4g85g,2.729,0.008113,0.0082,0.007978,0.008161,0.016229,,
,d9q4f9fv9q4s73bhp4o0,2.7312,0.00777,0.00822,0.008188,0.008094,0.01614,,,,d9q41di42q2c73b8n76g,2.7012,0.00817,0.008221,0.008087,0.00806,0.016268,,,,d9q43mq42q2c73b8n9fg,2.7607,0.008061,0.008139,0.008053,0.007897,0.01608,,
,d9q4fjklp7es73b4gkog,2.7024,0.008018,0.008242,0.008273,0.008044,0.01629,,,,d9q41ivv9q4s73bhon40,2.7275,0.00816,0.008084,0.008109,0.008106,0.01623,,,,d9q441vv9q4s73bhopi0,2.7424,0.008088,0.008084,0.008008,0.008174,0.016178,,
